ticker,field,key,predicted,truth,category
AAPL,segment_revenue,americas,123456000000.0,,spurious_key
AAPL,segment_revenue,europe,78901000000.0,,spurious_key
AAPL,segment_revenue,china,23456000000.0,,spurious_key
AAPL,segment_revenue,japan,3456000000.0,,spurious_key
AAPL,segment_revenue,rest of asia pacific,4567000000.0,,spurious_key
AMZN,segment_revenue,north america,426305000000.0,426305.0,scale_x1e6
AMZN,segment_revenue,international,161894000000.0,161894.0,scale_x1e6
AMZN,segment_revenue,aws,128725000000.0,128725.0,scale_x1e6
CAT,segment_revenue,construction industries,14064000000.0,25060000000.0,wrong_value
CAT,segment_revenue,resource industries,4643000000.0,12474000000.0,wrong_value
CAT,segment_revenue,power & energy,15558000000.0,32201000000.0,wrong_value
CAT,segment_revenue,financial products segment,2841000000.0,4220000000.0,wrong_year_or_rounding
CAT,segment_revenue,all other segment,26000000.0,,spurious_key
KO,segment_revenue,emea,10833000000.0,11513000000.0,wrong_year_or_rounding
KO,segment_revenue,asia pacific,5328000000.0,5638000000.0,wrong_year_or_rounding
MSFT,segment_revenue,productivity and business processes,0.0,,spurious_key
MSFT,segment_revenue,intelligent cloud,0.0,,spurious_key
MSFT,segment_revenue,more personal computing,0.0,,spurious_key
WMT,segment_revenue,walmart u.s,483000000000.0,483000000000000.0,scale_x1000
WMT,segment_revenue,walmart international,130400000000.0,130400000000000.0,scale_x1000
XOM,segment_revenue,upstream,25396000000.0,51489000000.0,wrong_value
XOM,segment_revenue,energy products,99073000000.0,118497000000.0,wrong_year_or_rounding
XOM,segment_revenue,chemical products,7594000000.0,14509000000.0,wrong_value
XOM,segment_revenue,specialty products,5502000000.0,7655000000.0,wrong_year_or_rounding
AAPL,geographic_revenue,united states,151790000000.0,,spurious_key
AAPL,geographic_revenue,other countries,199994000000.0,,spurious_key
CAT,geographic_revenue,eame,3000000000.0,,spurious_key
CAT,geographic_revenue,latin america,1500000000.0,,spurious_key
CAT,geographic_revenue,united states,12000000000.0,,spurious_key
CAT,geographic_revenue,international,8000000000.0,,spurious_key
JNJ,geographic_revenue,united states,3037000.0,,spurious_key
JNJ,geographic_revenue,europe,5035000.0,,spurious_key
JNJ,geographic_revenue,"western hemisphere, excluding u.s",1054000.0,,spurious_key
JNJ,geographic_revenue,"africa, asia and pacific",1237000.0,,spurious_key
KO,geographic_revenue,united states,12345000000.0,,spurious_key
KO,geographic_revenue,international,6789000000.0,,spurious_key
MSFT,geographic_revenue,united states,60000000.0,,spurious_key
MSFT,geographic_revenue,international,40000000.0,,spurious_key
NVDA,geographic_revenue,united states,12345000000.0,,spurious_key
NVDA,geographic_revenue,international,67890000000.0,,spurious_key
WMT,geographic_revenue,walmart u.s,779210000000.0,,spurious_key
WMT,geographic_revenue,walmart international retail,236214000000.0,,spurious_key
WMT,geographic_revenue,walmart international wholesale,41405000000.0,,spurious_key
AAPL,geographic_revenue,americas,,178353000000.0,missing_key
AAPL,geographic_revenue,europe,,111032000000.0,missing_key
AAPL,geographic_revenue,japan,,28703000000.0,missing_key
AAPL,geographic_revenue,rest of asia pacific,,33696000000.0,missing_key
GOOGL,geographic_revenue,united states,,48000000.0,missing_key
GOOGL,geographic_revenue,emea,,29000000.0,missing_key
GOOGL,geographic_revenue,asia pacific,,17000000.0,missing_key
GOOGL,geographic_revenue,other americas,,6000000.0,missing_key
AMZN,rd_expense,value,817000000.0,,spurious_key
JNJ,rd_expense,value,1250000000.0,14665000000.0,wrong_value
MSFT,rd_expense,value,0.0,32488000000.0,wrong_value
XOM,rd_expense,value,1200000000000.0,1200000000.0,scale_x1000
