company,ticker,field,key,value,unit,source_page
Apple Inc.,AAPL,segment_revenue,americas,100000.0,millions,5
Apple Inc.,AAPL,segment_revenue,europe,80000.0,millions,5
Apple Inc.,AAPL,segment_revenue,china,60000.0,millions,5
Apple Inc.,AAPL,segment_revenue,japan,30000.0,millions,5
Apple Inc.,AAPL,segment_revenue,rest of asia pacific,20000.0,millions,5
Apple Inc.,AAPL,geographic_revenue,united states,151790.0,millions,50
Apple Inc.,AAPL,geographic_revenue,china,64377.0,millions,50
Apple Inc.,AAPL,geographic_revenue,other countries,199994.0,millions,50
Apple Inc.,AAPL,rd_expense,value,34550.0,millions,50
Amazon.com Inc.,AMZN,segment_revenue,north america,426305.0,millions,71
Amazon.com Inc.,AMZN,segment_revenue,international,161894.0,millions,71
Amazon.com Inc.,AMZN,segment_revenue,aws,128725.0,millions,71
Amazon.com Inc.,AMZN,geographic_revenue,united states,469.0,millions,7
Amazon.com Inc.,AMZN,geographic_revenue,international,104.0,millions,7
Amazon.com Inc.,AMZN,rd_expense,value,817.0,millions,60
Caterpillar Inc.,CAT,segment_revenue,construction industries,14064.0,millions,124
Caterpillar Inc.,CAT,segment_revenue,resource industries,4643.0,millions,124
Caterpillar Inc.,CAT,segment_revenue,power & energy,15558.0,millions,124
Caterpillar Inc.,CAT,segment_revenue,financial products segment,2841.0,millions,124
Caterpillar Inc.,CAT,segment_revenue,all other segment,26.0,millions,124
Caterpillar Inc.,CAT,geographic_revenue,united states,12345.0,millions,40
Caterpillar Inc.,CAT,geographic_revenue,international,67890.0,millions,40
Caterpillar Inc.,CAT,rd_expense,value,2148.0,millions,54
Alphabet Inc.,GOOGL,segment_revenue,google services,272543.0,millions,88
Alphabet Inc.,GOOGL,segment_revenue,google cloud,33088.0,millions,88
Alphabet Inc.,GOOGL,segment_revenue,other bets,1527.0,millions,88
Alphabet Inc.,GOOGL,rd_expense,value,61087.0,millions,36
Johnson & Johnson,JNJ,geographic_revenue,united states,3037.0,thousands,26
Johnson & Johnson,JNJ,geographic_revenue,europe,5035.0,thousands,26
Johnson & Johnson,JNJ,geographic_revenue,"western hemisphere, excluding u.s",1054.0,thousands,26
Johnson & Johnson,JNJ,geographic_revenue,"africa, asia and pacific",1237.0,thousands,26
Johnson & Johnson,JNJ,rd_expense,value,1.25,billions,61
The Coca-Cola Company,KO,segment_revenue,emea,10833.0,millions,120
The Coca-Cola Company,KO,segment_revenue,latin america,6331.0,millions,120
The Coca-Cola Company,KO,segment_revenue,north america,19579.0,millions,120
The Coca-Cola Company,KO,segment_revenue,asia pacific,5328.0,millions,120
The Coca-Cola Company,KO,segment_revenue,bottling investments,5726.0,millions,120
The Coca-Cola Company,KO,rd_expense,value,0.0,millions,26
Microsoft Corporation,MSFT,segment_revenue,productivity and business processes,0.0,millions,5
Microsoft Corporation,MSFT,segment_revenue,intelligent cloud,0.0,millions,5
Microsoft Corporation,MSFT,segment_revenue,more personal computing,0.0,millions,5
Microsoft Corporation,MSFT,geographic_revenue,united states,125000.0,millions,10
Microsoft Corporation,MSFT,geographic_revenue,international,103000.0,millions,10
Microsoft Corporation,MSFT,rd_expense,value,0.0,millions,58
NVIDIA Corporation,NVDA,segment_revenue,compute & networking,193479.0,millions,40
NVIDIA Corporation,NVDA,segment_revenue,graphics,22459.0,millions,40
NVIDIA Corporation,NVDA,geographic_revenue,united states,12345.0,millions,21
NVIDIA Corporation,NVDA,geographic_revenue,international,67890.0,millions,21
NVIDIA Corporation,NVDA,rd_expense,value,18497.0,millions,41
Walmart Inc.,WMT,segment_revenue,walmart u.s,483.0,billions,6
Walmart Inc.,WMT,segment_revenue,walmart international,130.4,billions,6
Walmart Inc.,WMT,geographic_revenue,walmart u.s,779210.0,thousands,29
Walmart Inc.,WMT,geographic_revenue,walmart international retail,236214.0,thousands,29
Walmart Inc.,WMT,geographic_revenue,walmart international wholesale,41405.0,thousands,29
Walmart Inc.,WMT,geographic_revenue,total company,1056829.0,thousands,29
Walmart Inc.,WMT,rd_expense,value,0.0,millions,71
Exxon Mobil Corporation,XOM,segment_revenue,upstream,51389.0,millions,90
Exxon Mobil Corporation,XOM,segment_revenue,energy products,118497.0,millions,90
Exxon Mobil Corporation,XOM,segment_revenue,chemical products,145378.0,millions,90
Exxon Mobil Corporation,XOM,segment_revenue,specialty products,12705.0,millions,90
Exxon Mobil Corporation,XOM,geographic_revenue,united states,0.0,millions,72
Exxon Mobil Corporation,XOM,geographic_revenue,international,0.0,millions,72
Exxon Mobil Corporation,XOM,rd_expense,value,1200.0,billions,115
